CODE,DESCRIPTION,,,,,
,,,,,,
P91.3,Neonatal cerebral irritability,,,,,
P91.4,Neonatal cerebral depression,,,,,
P91.6,Hypoxic ischaemic encephalopathy of newborn,,,,,
P91.8,Other specified disturbances of cerebral status of newborn,,,,,
P91.9,"Disturbance of cerebral status of newborn, unspecified",,,,,
J36,"Peritonsillar abscess; Abscess of tonsil; Peritonsillarcellulitis; Quinsy",,,,,
J38.7,"Other diseases of larynx; Abscess of larynx; Cellulitis oflarynx; Disease NOS of larynx; Necrosis of larynx;Pachyderma of larynx; Perichondritis of larynx; Ulcer oflarynx",,,,,
J39.0,"Retropharyngeal and parapharyngeal abscess;Peripharyngeal abscess",,,,,
J39.1,"Other abscess of pharynx; Cellulitis of pharynx;Nasopharyngeal abscess",,,,,
J39.2,"Other diseases of pharynx; Cyst of pharynx or nasopharynx;Oedema of pharynx or nasopharynx",,,,,
J85.1,Abscess of lung with pneumonia,,,,,
J85.2,Abscess of lung without pneumonia; Abscess of lung NOS,,,,,
J85.3,Abscess of mediastinum,,,,,
J86.0,Pyothorax with fistula,,,,,
J86.9,"Pyothorax without fistula; Abscess of pleura; Abscess ofthorax; Empyema; Pyopneumothorax",,,,,
A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",,,,,
A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",,,,,
A00.9,"Cholera, unspecified",,,,,
A03.0,"Shigellosis due to Shigella dysenteriae; Group A shigellosis[Shiga-Kruse dysentery]",,,,,
A03.1,Shigellosis due to Shigella flexneri;Group B shigellosis,,,,,
A03.2,Shigellosis due to Shigella boydii; Group C shigellosis,,,,,
A03.3,Shigellosis due to Shigella sonnei; Group D shigellosis,,,,,
A03.8,Other shigellosis,,,,,
A03.9,"Shigellosis, unspecified; ; Bacillary dysentery NOS",,,,,
A04.0,Enteropathogenic Escherichia coli infection,,,,,
A04.1,Enterotoxigenic Escherichia coli infection,,,,,
A04.2,Enteroinvasive Escherichia coli infection,,,,,
A04.3,Enterohaemorrhagic Escherichia coli infection,,,,,
A04.4,Other intestinal Escherichia coli infections,,,,,
A04.5,Campylobacter enteritis,,,,,
A04.6,Enteritis due to Yersinia enterocolitica,,,,,
A04.7,"Enterocolitis due to Clostridium difficile; Foodborneintoxication by Clostridium difficile; Pseudomembranouscolitis",,,,,
A04.8,Other specified bacterial intestinal infections,,,,,
A04.9,"Bacterial intestinal infection, unspecified. Bacterial enteritisNOS",,,,,
A05.0,Foodborne staphylococcal intoxication,,,,,
A05.2,"Foodborne Clostridium perfringens [Clostridium welchii]intoxication. Enteritis necroticans.Pig-bel",,,,,
A05.3,Foodborne Vibrio parahaemolyticus intoxication,,,,,
A05.4,Foodborne Bacillus cereus intoxication,,,,,
A05.8,Other specified bacterial foodborne intoxications,,,,,
A05.9,"Bacterial foodborne intoxication, unspecified",,,,,
A07.0,Balantidiasis; Balantidial dysentery,,,,,
A07.1,Giardiasis [lambliasis],,,,,
A07.2,Cryptosporidiosis,,,,,
A07.3,"Isosporiasis; Infection due to Isospora belli and Isosporahominis; Intestinal coccidiosis; Isosporosis",,,,,
A07.8,"Other specified protozoal intestinal diseases; Intestinaltrichomoniasis; Sarcocystosis; Sarcosporidiosis",,,,,
A07.9,"Protozoal intestinal disease, unspecified;Flagellatediarrhoea; Protozoal colitis;  Protozoal diarrhoea; Protozoaldysentery",,,,,
A08.0,Rotaviral enteritis,,,,,
A08.1,"Acute gastroenteropathy due to Norovirus; Noroviralenteritis; Small round structured virus enteritis",,,,,
A08.2,Adenoviral enteritis,,,,,
A08.3,Other viral enteritis,,,,,
A08.4,"Viral intestinal infection, unspecified; Viral enteritis NOS;Viral gastroenteritis NOS; Viral gastroenteropathy NOS",,,,,
ICD 10 CODE,DESCRIPTION,,,,,
,,,,,,
A09.0,"Infectious diarrheaInfectious diarrhea with no dehydrationOther and unspecified gastroenteritis and colitis ofinfectious origin",,,,,
A09.9,"Gastroenteritis and colitis of unspecified origin; Neonataldiarrhoea NOS",,,,,
K52.0,Gastroenteritis and colitis due to radiation,,,,,
K52.1,Toxic gastroenteritis and colitis,,,,,
K52.2,"Allergic and dietetic gastroenteritis and colitis; Foodhypersensitivity gastroenteritis or colitis",,,,,
K52.8,"Other specified noninfective gastroenteritis and colitis;Eosinophilic gastritis or gastroenteritis",,,,,
K52.9,"Noninfective gastroenteritis and colitis, unspecified;Diarrhoea specified as noninfective, or NOS in countrieswhere the conditions can be presumed to be ofnoninfectious origin; Enteritis specified as noninfective, orNOS in countries where the conditions can be presumed tobe of noninfectious origin; Ileitis specified as noninfective,or NOS in countries where the conditions can be presumedto be noninfectious origin; Jejunitis specified asnoninfective, or NOS in countries where the conditions canbe presumed to be noninfectious origin; Sigmoiditispecified as noninfective, or NOS in countries where theconditions can be presumed to be noninfectious origin",,,,,
K58.0,Irritable bowel syndrome with diarrhoea,,,,,
N17.0,"Acute renal failure with tubular necrosis; Tubular necrosisNOS; Acute Tubular necrosis ; Renal Tubular necrosis",,,,,
N17.1,"Acute renal failure with acute cortical necrosis; Corticalnecrosis NOS; Acute Cortical necrosis ; Renal Corticalnecrosis",,,,,
N17.2,"Acute renal failure with medullary necrosis; Medullarypapillary necrosis, NOS; Acute medullary papillary necrosis;Renal medullary papillary necrosis",,,,,
N17.8,Other acute renal failure,,,,,
N17.9,"Acute renal failure, unspecified;",,,,,
O08.4,"Renal failure following abortion and ectopic and molarpregnancy; Oliguria Acute renal failure; Oliguria renalshutdown; Oliguria renal tubular necrosis; Oliguria Uraemia",,,,,
J80,"Adult respiratory distress syndrome; Adult hyalinemembrane disease",,,,,
T78.1,"Other adverse food reactions, not elsewhere classified",,,,,
T78.3,Angioneurotic oedema; Giant urticaria; Quinke's oedema,,,,,
T78.4,"Allergy, unspecified; Allergic reaction NOS; HypersensitivityNOS; Idiosyncracy NOS",,,,,
T78.8,"Other adverse effects, not elsewhere classified",,,,,
T78.9,"Adverse effect, unspecified",,,,,
T88.7,"Unspecified adverse effect of drug or medicament; Adverseeffect of correct drug or medicament properlyadministered; Allergic reactiion to correct drug ormedicament properly administered; Hypersensitivity tocorrect drug or medicament properly administered;Idiosyncracy to correct drug or medicament properlyadministered; Drug: hypersensitivity NOS; reaction NOS",,,,,
A06.4+ K77.0*,Amoebic liver abscess; Hepatic amoebiasis,,,,,
A06.0,"Acute amoebic dysentery; Acute amoebiasis; Intestinalamoebiasis NOS",,,,,
A06.1,Chronic intestinal amoebiasis,,,,,
A06.2,Amoebic nondysenteric colitis,,,,,
A06.3,Amoeboma of intestine; Amoeboma NOS,,,,,
A06.7,Cutaneous amoebiasis,,,,,
A06.8,"Amoebic infection of other sitesAmoebic Appendicitis; Amoebic balanitis (N51.2*)",,,,,
E85.8,Other amyloidosis; Localized amyloidosis,,,,,
T78.0,Anaphylactic shock due to adverse food reaction,,,,,
T78.2,"Anaphylactic shock, unspecified; Allergic shock NOS;Anaphylactic reaction NOS; Anaphylaxis NOS",,,,,
T88.6,"Anaphylactic shock due to adverse effect of correct drug ormedicament properly administered",,,,,
ICD 10 CODE,DESCRIPTION,,,,,
,,,,,,
D50.1,"Sideropenic dysphagia; Kelly-Paterson syndrome;  Plummer-Vinson syndrome",,,,,
D50.8,Other iron deficiency anaemias,,,,,
D50.9,"Iron deficiency anaemia, unspecified",,,,,
D51.0,"Vitamin B12 deficiency anaemia due to intrinsic factordeficiency;  Addison Anaemia; Biermer  Anaemia;Congenital Pernicious  Anaemia; Congenital intrinsic factordeficiencyPernicious anemia",,,,,
D51.8,Other vitamin B12 deficiency anaemias,,,,,
D51.9,"Vitamin B12 deficiency anaemia, unspecified",,,,,
D52.1,"Drug-induced folate deficiency anaemiaUse additional external cause code (Chapter XX), if desiredto identify drug",,,,,
D52.9,"Folate deficiency anaemia, unspecified; Folic acid deficiencyanaemia NOS",,,,,
D53.0,"Protein deficiency anaemia; Amino-acid  deficiencyanaemia; Orotaciduric anaemia",,,,,
D53.1,"Other megaloblastic anaemias, not elsewhere classified;Megaloblastic anaemia NOS",,,,,
D53.2,Scorbutic anaemia,,,,,
D53.8,"Other specified nutritional anaemias; Anaemia associatedwith deficiency of copper;  Anaemia associated withdeficiency of molybdenum; Anaemia associated withdeficiency of  zinc",,,,,
D53.9,"Nutritional anaemia, unspecified; Simple chronic anaemia",,,,,
D55.0,"Anaemia due to glucose-6-phosphate dehydrogenase[G6PD] deficiency; Favism;G6PD deficiency anaemia",,,,,
D55.1,"Anaemia due to other disorders of glutathione metabolism;Anaemia due to enzyme deficiencies, except G6PD, relatedto the hexose monophosphate [HMP] shunt pathway;Anaemia due to haemolytic nonspherocytic hereditary,type I",,,,,
D55.2,"Anaemia due to disorders of glycolytic enzymes;Haemolytic nonspherocytic hereditary Anaemia, type II;Hexokinase deficiency Anaemia; Pyruvate kinase [PK]deficiency Anaemia; Triose-phosphate isomerase deficiencyAnaemia",,,,,
D55.8,Other anaemias due to enzyme disorders,,,,,
D55.9,"Anaemia due to enzyme disorder, unspecified",,,,,
D56.9,"Thalassaemia, unspecifiedMediterranean anaemia;  Mediterranean anaemia withother haemoglobinopathy; Thalassaemia minor with otherhaemoglobinopathy; Thalassaemia mixed with otherhaemoglobinopathy;",,,,,
D57.0,Sickle-cell anaemia with crisis; Hb-SS disease with crisis,,,,,
D57.1,"Sickle-cell anaemia without crisis; Sickle-cell anaemia NOS;Sickle-cell  disease NOS ; Sickle-cell disorder NOS",,,,,
D57.3,Sickle-cell trait; Hb-S trait ; Heterozygous Haemoglobin S,,,,,
D57.8,Other sickle-cell disorders,,,,,
D58.0,"Hereditary spherocytosis; Acholuric (familial) jaundice;Congenital (spherocytic) haemolytic icterus; Minkowski-Chauffard syndrome",,,,,
D58.1,"Hereditary elliptocytosis; Congenital Elliptocytosis;Congenital Ovalocytosis; Hereditary Ovalocytosis",,,,,
D58.2,"Other haemoglobinopathies; Abnormal haemoglobin NOS;Congenital Heinz body anaemia;  Hb-C Disease;  Hb-CDisease;  Hb-D Disease;  Hb-E Disease; HaemoglobinopathyNOS;  Unstable haemoglobin haemolytic disease",,,,,
D58.8,"Other specified hereditary haemolytic anaemias;Stomatocytosis",,,,,
D58.9,"Hereditary haemolytic anaemia, unspecified; Acquiredhaemolytic anaemia",,,,,
D59.0,Drug-induced autoimmune haemolytic anaemia,,,,,
ICD 10 CODE,DESCRIPTION,,,,,
,,,,,,
D59.2,"Drug-induced nonautoimmune haemolytic anaemia; Drug-induced enzyme deficiency anaemia",,,,,
D59.4,"Other nonautoimmune haemolytic anaemias; MechanicalHaemolytic anaemia; Microangiopathic Haemolyticanaemia; Toxic Haemolytic anaemia",,,,,
D59.5,"Paroxysmal nocturnal haemoglobinuria [Marchiafava-Micheli]",,,,,
D59.6,"Haemoglobinuria due to haemolysis from other externalcauses; Haemoglobinuria from exertion;  Haemoglobinuriamarch; Haemoglobinuria paroxysmal cold",,,,,
D59.8,Other acquired haemolytic anaemias,,,,,
D59.9,"Acquired haemolytic anaemia, unspecified; ChronicIdiopathic haemolytic anaemia",,,,,
D60.1,Transient acquired pure red cell aplasia,,,,,
D61.0,"Constitutional aplastic anaemia;  Congenital Pure red cellAplasia;  Pure red cell  Aplasia of infants;  Primary Pure redcell  Aplasia; Blackfan-Diamond syndrome; Familialhypoplastic anaemia; Fanconi's anaemia; Pancytopeniawith malformations",,,,,
D61.1,Drug-induced aplastic anaemia,,,,,
D61.2,Aplastic anaemia due to other external agents,,,,,
D61.3,Idiopathic aplastic anaemia,,,,,
D61.8,Other specified aplastic anaemias,,,,,
D61.9,"Aplastic anaemia, unspecified; Hypoplastic anaemia NOS;Medullary hypoplasia; Panmyelophthisis",,,,,
D62,Acute posthaemorrhagic anaemia,,,,,
D63.0*,Anaemia in neoplastic disease,,,,,
D63.8*,Anaemia in other chronic diseases classified elsewhere,,,,,
D64.0,"Hereditary sideroblastic anaemia; Sex-linked hypochromicsideroblastic anaemia",,,,,
D64.1,Secondary sideroblastic anaemia due to disease,,,,,
D64.2,Secondary sideroblastic anaemia due to drugs and toxins,,,,,
D64.3,"Other sideroblastic anaemias; Sideroblastic anaemia NOS;pyridoxine-responsive NEC Sideroblastic anaemia",,,,,
D64.8,"Other specified anaemias; Infantile pseudoleukaemia;Leukoerythroblastic anaemia",,,,,
D64.9,"Anaemia, unspecifiedSevere anemia",,,,,
M00.16,"Pneumococcal arthritis and polyarthritis, Lower leg",,,,,
M00.19,"Pneumococcal arthritis and polyarthritis,  Site unspecified",,,,,
M00.29,"Other streptococcal arthritis and polyarthritis, Siteunspecified",,,,,
M00.82,"Arthritis and polyarthritis due to other specified bacterialagents upper arm",,,,,
M00.90,"Pyogenic arthritis, unspecified; Infective arthritis NOSmultiple sites",,,,,
M00.91,"Pyogenic arthritis, unspecified; Infective arthritis NOSshoulder region",,,,,
M00.93,"Pyogenic arthritis, unspecified; Infective arthritis NOSforearm",,,,,
M00.94,"Pyogenic arthritis, unspecified; Infective arthritis NOShand",,,,,
M00.95,"Pyogenic arthritis, unspecified; Infective arthritis NOSpelvic region and thigh",,,,,
M00.96,"Pyogenic arthritis, unspecified; Infective arthritis NOSlower leg",,,,,
M00.97,"Pyogenic arthritis, unspecified; Infective arthritis NOSankle and foot",,,,,
