code,Description,,,
,,,,
10060,"INCISION AND DRAINAGE OF ABSCESS (E.G., CARBUNCLE,SUPPURATIVE HIDRADENITIS, CUTANEOUS OR SUBCUTANEOUSABSCESS, CYST, FURUNCLE, OR PARONYCHIA)",,,
10080,INCISION AND DRAINAGE OF PILONIDAL CYST,,,
10120,"INCISION AND REMOVAL OF FOREIGN BODY, SUBCUTANEOUSTISSUES",,,
10140,"INCISION AND DRAINAGE OF HEMATOMA, SEROMA, OR FLUIDCOLLECTION",,,
10160,"PUNCTURE ASPIRATION OF ABSCESS, HEMATOMA, BULLA, OR CYST",,,
10180,"INCISION AND DRAINAGE, COMPLEX, POSTOPERATIVE WOUNDINFECTION",,,
11000,DEBRIDEMENT OF EXTENSIVE ECZEMATOUS OR INFECTED SKIN,,,
11010,"DEBRIDEMENT INCLUDING REMOVAL OF FOREIGN MATERIALASSOCIATED W/ OPEN FRACTURE(S) AND/OR DISLOCATION(S);SKIN AND SUBCUTANEOUS TISSUES",,,
11011,"DEBRIDEMENT INCLUDING REMOVAL OF FOREIGN MATERIALASSOCIATED W/ OPEN FRACTURE(S) AND/OR DISLOCATION(S);SKIN, SUBCUTANEOUS TISSUE, MUSCLE FASCIA, AND MUSCLE",,,
11012,"DEBRIDEMENT INCLUDING REMOVAL OF FOREIGN MATERIALASSOCIATED W/ OPEN FRACTURE(S) AND/OR DISLOCATION(S);SKIN, SUBCUTANEOUS TISSUE, MUSCLE FASCIA, MUSCLE, ANDBONE",,,
11040,"DEBRIDEMENT; SKIN, PARTIAL THICKNESS",,,
11041,"DEBRIDEMENT; SKIN, FULL THICKNESS",,,
11042,"DEBRIDEMENT; SKIN, AND SUBCUTANEOUS TISSUE",,,
11043,"DEBRIDEMENT; SKIN, SUBCUTANEOUS TISSUE, AND MUSCLE",,,
11044,"DEBRIDEMENT; SKIN, SUBCUTANEOUS TISSUE, MUSCLE, ANDBONE",,,
11100,"BIOPSY OF SKIN, SUBCUTANEOUS TISSUE AND/OR MUCOUSMEMBRANE (INCLUDING SIMPLE CLOSURE), UNLESS OTHERWISELISTED; SINGLE OR MULTIPLE LESION",,,
11300,"SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION,TRUNK, ARMS OR LEGS; LESION DIAMETER 0.5 CM OR LESS",,,
11301,"SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION,TRUNK, ARMS OR LEGS; LESION DIAMETER 0.6 TO 1.0 CM",,,
11302,"SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION,TRUNK, ARMS OR LEGS; LESION DIAMETER 1.1 TO 2.0 CM",,,
11303,"SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION,TRUNK, ARMS OR LEGS; LESION DIAMETER OVER 2.0 CM",,,
11305,"SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION,SCALP, NECK, HANDS, FEET, GENITALIA; LESION DIAMETER 0.5 CMOR LESS",,,
